Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR12834034,2020-10-19 17:29:23,2020-10-19 15:16:13,19966880,6029997760,19966880,302,1852,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR012/12834/SRR12834034/SRR12834034.lite.1,SRX9301569,30C_zigong,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 3000,SRP287563,PRJNA669198,,669198,SRS7525097,SAMN16456889,simple,9606,Homo sapiens,30C_zigong,,,,,female,,no,,,,,"THE SEVENTH AFFILIATED HOSPITAL, SUN YAT-SEN UNIVERSITY",SRA1144681,,public,6075F2D48DB32FFC1A54B55288E11EAC,5D093E5D15A462CDEDF847476B09AE14
SRR12834033,2020-10-19 17:29:23,2020-10-19 15:13:55,18910376,5710933552,18910376,302,1786,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR012/12834/SRR12834033/SRR12834033.lite.1,SRX9301570,30N_zigong,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 3000,SRP287563,PRJNA669198,,669198,SRS7525098,SAMN16456890,simple,9606,Homo sapiens,30N_zigong,,,,,female,,no,,,,,"THE SEVENTH AFFILIATED HOSPITAL, SUN YAT-SEN UNIVERSITY",SRA1144681,,public,CB97FB2BF6C11013632C30C4B71EEF99,89867DE8AB1351A14CEC4EDB33408F1C
SRR14453811,2021-05-06 01:50:02,2021-05-06 01:47:13,12186099,609304950,0,50,650,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR014/14453/SRR14453811/SRR14453811.lite.1,SRX10804633,ARK1_scr_1,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP318665,PRJNA727688,,727688,SRS8891274,SAMN19030102,simple,9606,Homo sapiens,ARK1_scr_1,,,,,female,,no,,,,,"RAMBAM MEDICAL CENTER, HAIFA",SRA1229048,,public,C9619171D8D3441F6795C722137E5FB0,F7EFD7FF24A1F3B2D9A2CAC779799C05
SRR14453810,2021-05-06 01:50:02,2021-05-06 01:46:12,11755918,587795900,0,50,624,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR014/14453/SRR14453810/SRR14453810.lite.1,SRX10804634,ARK1_scr_2,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP318665,PRJNA727688,,727688,SRS8891273,SAMN19030103,simple,9606,Homo sapiens,ARK1_scr_2,,,,,female,,no,,,,,"RAMBAM MEDICAL CENTER, HAIFA",SRA1229048,,public,868E8DE60D20C7C4437099C9BCEF4189,9DF9DE22C531AA93C2746D7353852CDD
SRR14453819,2021-05-06 01:47:26,2021-05-06 01:45:27,10079242,503962100,0,50,538,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR014/14453/SRR14453819/SRR14453819.lite.1,SRX10804625,ARK1_scr_3,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP318665,PRJNA727688,,727688,SRS8891266,SAMN19030104,simple,9606,Homo sapiens,ARK1_scr_3,,,,,female,,no,,,,,"RAMBAM MEDICAL CENTER, HAIFA",SRA1229048,,public,72C17570AA63DC33CEA59E103D2B5F4B,1BE3CF00CEE07173AF6BFD406950F580
SRR14453818,2021-05-06 01:47:26,2021-05-06 01:45:21,7395311,369765550,0,50,396,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR014/14453/SRR14453818/SRR14453818.lite.1,SRX10804626,ARK1_sh1_1,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP318665,PRJNA727688,,727688,SRS8891268,SAMN19030105,simple,9606,Homo sapiens,ARK1_sh1_1,,,,,female,,no,,,,,"RAMBAM MEDICAL CENTER, HAIFA",SRA1229048,,public,E8DBFA4EF0EEC53ED58016D5530A71D9,B27DCF24DA0877B72D36B7BB1A89B3FA
SRR14453817,2021-05-06 01:47:26,2021-05-06 01:45:14,6271767,313588350,0,50,334,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR014/14453/SRR14453817/SRR14453817.lite.1,SRX10804627,ARK1_sh1_2,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP318665,PRJNA727688,,727688,SRS8891267,SAMN19030106,simple,9606,Homo sapiens,ARK1_sh1_2,,,,,female,,no,,,,,"RAMBAM MEDICAL CENTER, HAIFA",SRA1229048,,public,3462CCB56E918D32EE6D4DA6EDA554A5,E3267E8101A29D3E2AA4D4078D0B69D7
SRR14453816,2021-05-06 01:47:26,2021-05-06 01:45:33,9523071,476153550,0,50,505,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR014/14453/SRR14453816/SRR14453816.lite.1,SRX10804628,ARK1_sh1_3,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP318665,PRJNA727688,,727688,SRS8891269,SAMN19030107,simple,9606,Homo sapiens,ARK1_sh1_3,,,,,female,,no,,,,,"RAMBAM MEDICAL CENTER, HAIFA",SRA1229048,,public,ED9953FC81A1BFE248DD3D3C592CB3F0,2E6E59471EC5F21A314E5249DBF44528
SRR14453815,2021-05-06 01:47:26,2021-05-06 01:45:17,6889534,344476700,0,50,370,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR014/14453/SRR14453815/SRR14453815.lite.1,SRX10804629,ARK1_sh2_1,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP318665,PRJNA727688,,727688,SRS8891272,SAMN19030108,simple,9606,Homo sapiens,ARK1_sh2_1,,,,,female,,no,,,,,"RAMBAM MEDICAL CENTER, HAIFA",SRA1229048,,public,07AF5BA497B32561B472254946109E02,AF3FA6EBD0CC3B7EEF28EA90326EA1C5
SRR14453814,2021-05-06 01:54:27,2021-05-06 01:45:13,7956730,397836500,0,50,430,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR014/14453/SRR14453814/SRR14453814.lite.1,SRX10804630,ARK1_sh2_2,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP318665,PRJNA727688,,727688,SRS8891270,SAMN19030109,simple,9606,Homo sapiens,ARK1_sh2_2,,,,,female,,no,,,,,"RAMBAM MEDICAL CENTER, HAIFA",SRA1229048,,public,C0C05818CCC4CB10BF7C0C7BA45812C3,2DEFBB9EF4F66684D88326E384AB3932
