Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
ERR3671306,2020-09-08 08:35:44,2022-07-25 11:06:08,16216274,1225286434,0,75,420,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/ERR003/3671/ERR3671306/ERR3671306.lite.1,ERX3662711,Sample 1_s,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP118507,PRJEB35460,,662275,ERS4035608,SAMEA6235915,simple,9606,Homo sapiens,SAMEA6235915,,,,,,,no,,,,,Cambridge Genomic Services,ERA2296093,,public,6F4429287BCA7445360B9204D29E572C,AA78B406DDEF588E6FD746BD7ABE38E8
ERR3671307,2020-09-08 08:35:44,2022-07-25 11:07:19,18364747,1387599490,0,75,475,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/ERR003/3671/ERR3671307/ERR3671307.lite.1,ERX3662712,Sample 2_s,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP118507,PRJEB35460,,662275,ERS4035609,SAMEA6235916,simple,9606,Homo sapiens,SAMEA6235916,,,,,,,no,,,,,Cambridge Genomic Services,ERA2296093,,public,58843B9425E47FB0A33F45F2EF244A50,BF5FABFC395128D7D404C04FA0FEB008
ERR3671308,2020-09-08 08:35:44,2022-07-14 05:36:46,20400222,1541280649,0,75,531,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/ERR003/3671/ERR3671308/ERR3671308.lite.1,ERX3662713,Sample 3_s,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP118507,PRJEB35460,,662275,ERS4035610,SAMEA6235917,simple,9606,Homo sapiens,SAMEA6235917,,,,,,,no,,,,,Cambridge Genomic Services,ERA2296093,,public,DB2D05CE5B79D531D98DA7692D41F6B7,107882F8257B74B54B11D7C692DDD78F
ERR3671309,2020-09-08 08:35:44,2022-07-16 06:04:02,14233566,1075340185,0,75,369,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/ERR003/3671/ERR3671309/ERR3671309.lite.1,ERX3662714,Sample 4_s,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP118507,PRJEB35460,,662275,ERS4035611,SAMEA6235919,simple,9606,Homo sapiens,SAMEA6235919,,,,,,,no,,,,,Cambridge Genomic Services,ERA2296093,,public,1BB968731E043601E7732DEEF3BF4C1C,41A2682CD1D26C1091DBA83CBF0C7500
ERR3671310,2020-09-08 08:35:44,2022-07-15 20:13:23,16437260,1241797698,0,75,429,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/ERR003/3671/ERR3671310/ERR3671310.lite.1,ERX3662715,Sample 5_s,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP118507,PRJEB35460,,662275,ERS4035612,SAMEA6235920,simple,9606,Homo sapiens,SAMEA6235920,,,,,,,no,,,,,Cambridge Genomic Services,ERA2296093,,public,3EC6F75B3E8A868ADEF6E3024B722576,1FA3761D0ACC262C8BC33E222DA67DF5
ERR3671311,2020-09-08 08:35:44,2022-07-25 11:05:54,14932640,1128095185,0,75,391,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/ERR003/3671/ERR3671311/ERR3671311.lite.1,ERX3662716,Sample 6_s,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP118507,PRJEB35460,,662275,ERS4035613,SAMEA6235921,simple,9606,Homo sapiens,SAMEA6235921,,,,,,,no,,,,,Cambridge Genomic Services,ERA2296093,,public,B0ED8737C221072198D3218281747578,1985935F876B5B8439A20932B1B64133
ERR3671312,2020-09-08 08:35:44,2022-07-13 22:28:56,15333154,1158321755,0,75,400,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/ERR003/3671/ERR3671312/ERR3671312.lite.1,ERX3662717,Sample 7_s,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP118507,PRJEB35460,,662275,ERS4035614,SAMEA6235922,simple,9606,Homo sapiens,SAMEA6235922,,,,,,,no,,,,,Cambridge Genomic Services,ERA2296093,,public,74338356E08CFA25F58BDEBCB2D1EDE8,EECE1185ACB9060448A88AEAC3CE328B
ERR3671313,2020-09-08 08:35:44,2022-07-12 16:30:17,14537174,1098240369,0,75,377,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/ERR003/3671/ERR3671313/ERR3671313.lite.1,ERX3662718,Sample 8_s,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP118507,PRJEB35460,,662275,ERS4035615,SAMEA6235923,simple,9606,Homo sapiens,SAMEA6235923,,,,,,,no,,,,,Cambridge Genomic Services,ERA2296093,,public,B8D5122FA3E27DDD2E1F129A9188BC36,EAC681FB6104759A10F05E41FD4F2662
ERR3671314,2020-09-08 08:35:44,2022-07-25 11:15:58,15308095,1156665124,0,75,398,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/ERR003/3671/ERR3671314/ERR3671314.lite.1,ERX3662719,Sample 9_s,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP118507,PRJEB35460,,662275,ERS4035616,SAMEA6235924,simple,9606,Homo sapiens,SAMEA6235924,,,,,,,no,,,,,Cambridge Genomic Services,ERA2296093,,public,45F8F8FE4824988AF8973C8A1410CADB,AA07A32107EA76DF01C80371BBED2C94
ERR6686031,2021-10-06 22:03:50,2021-10-16 11:46:17,3503453,300027160,0,85,125,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/ERR006/6686/ERR6686031/ERR6686031.lite.1,ERX6310912,AC16_CON1_s,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP131731,PRJEB47455,,769368,ERS7603904,SAMEA9925555,simple,9606,Homo sapiens,SAMEA9925555,,,,,,,no,,,,,Xenovea,ERA6140296,,public,984602FBD9825E8CAB9BE251CCA92D82,51F8BBD88F0EBAB640C638948BA6BD84
ERR6686032,2021-10-06 22:03:50,2021-10-16 11:46:17,3526612,301909165,0,85,126,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/ERR006/6686/ERR6686032/ERR6686032.lite.1,ERX6310912,AC16_CON1_s,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP131731,PRJEB47455,,769368,ERS7603904,SAMEA9925555,simple,9606,Homo sapiens,SAMEA9925555,,,,,,,no,,,,,Xenovea,ERA6140296,,public,6664A02DDB69B49058787B59C3EC9042,15EDDB494568EF8377F7E42ECA01E80C
ERR6686033,2021-10-06 22:03:50,2021-10-16 11:46:11,3508964,300495862,0,85,126,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/ERR006/6686/ERR6686033/ERR6686033.lite.1,ERX6310912,AC16_CON1_s,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP131731,PRJEB47455,,769368,ERS7603904,SAMEA9925555,simple,9606,Homo sapiens,SAMEA9925555,,,,,,,no,,,,,Xenovea,ERA6140296,,public,96E918D4EEE1F2155F04D5DC458D8C81,2294F78B23E5549C1397A259D5D30224
ERR6686034,2021-10-06 22:03:50,2021-10-16 11:46:21,3479110,297823333,0,85,126,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/ERR006/6686/ERR6686034/ERR6686034.lite.1,ERX6310912,AC16_CON1_s,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP131731,PRJEB47455,,769368,ERS7603904,SAMEA9925555,simple,9606,Homo sapiens,SAMEA9925555,,,,,,,no,,,,,Xenovea,ERA6140296,,public,9BC0321A3DC092C58C11B969F460376D,CE600AA934256AE3BDA22B82A447E1FF
ERR6686035,2021-10-06 22:03:50,2021-10-16 11:46:45,4783024,406586229,0,85,167,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/ERR006/6686/ERR6686035/ERR6686035.lite.1,ERX6310913,AC16_CON2_s,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP131731,PRJEB47455,,769368,ERS7603905,SAMEA9925556,simple,9606,Homo sapiens,SAMEA9925556,,,,,,,no,,,,,Xenovea,ERA6140296,,public,90AE8166CFC7ED367A9E2E0C083B8F4B,3BA4B1377229DB1254F3D7C8EA2D5656
