Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR21162558,2022-08-22 17:27:15,2022-08-22 17:19:30,45234416,13570324800,45234416,300,5135,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR021/21162/SRR21162558/SRR21162558.lite.1,SRX17173668,1103176-2,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP393413,PRJNA872023,,872023,SRS14743806,SAMN30438146,simple,9606,Homo sapiens,1103176-2,,,,,male,,no,,,,,WEN ZHOU CENTRAL HOSPITAL,SRA1480348,,public,DE316AEBA03FA72F727E25D3BF99E819,4DC5F69FB47D8919D3971659F94F7D7D
SRR11594492,2020-07-01 00:07:43,2020-04-23 09:05:45,19472223,2925571042,0,150,1019,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR011/594/SRR11594492/SRR11594492.lite.1,SRX8161377,1161,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP258041,PRJNA627605,,627605,SRS6523116,SAMN14677186,simple,9606,Homo sapiens,1161,,,,,male,,no,,,,,FOURTH MILITARY MEDICAL UNIVERSITY,SRA1068143,,public,539A33FC72D9A1838C6E1C94024A065D,0D5A28A84981296FAA4A510F18344A43
SRR11594491,2020-07-01 00:07:43,2020-04-23 09:06:41,23053437,3463958523,0,150,1199,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR011/11594/SRR11594491/SRR11594491.lite.1,SRX8161378,1162,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP258041,PRJNA627605,,627605,SRS6523117,SAMN14677187,simple,9606,Homo sapiens,1162,,,,,male,,no,,,,,FOURTH MILITARY MEDICAL UNIVERSITY,SRA1068143,,public,E718E338F3D5701D3CFF40A0F71130AB,9FB95933BD73690735DD5CEBF98F459E
SRR11594487,2020-07-01 00:07:43,2020-04-23 09:05:59,21390657,3214957565,0,150,1119,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR011/11594/SRR11594487/SRR11594487.lite.1,SRX8161382,1163,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP258041,PRJNA627605,,627605,SRS6523121,SAMN14677188,simple,9606,Homo sapiens,1163,,,,,female,,no,,,,,FOURTH MILITARY MEDICAL UNIVERSITY,SRA1068143,,public,DDE2887B4167F4E06CBF3351D1C67E8A,E0A8410CDFD67EC1EB499587D8C95629
SRR11594486,2020-07-01 00:07:43,2020-04-23 09:04:31,18631452,2799736517,0,150,978,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR011/594/SRR11594486/SRR11594486.lite.1,SRX8161383,1164,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP258041,PRJNA627605,,627605,SRS6523122,SAMN14677189,simple,9606,Homo sapiens,1164,,,,,female,,no,,,,,FOURTH MILITARY MEDICAL UNIVERSITY,SRA1068143,,public,67CBC6E255D545199679CD41E159D649,7B1181F337E22D073E8C204012864344
SRR11594485,2020-07-01 00:07:43,2020-04-23 09:07:42,18798415,2825067660,0,150,989,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR011/11594/SRR11594485/SRR11594485.lite.1,SRX8161384,1165,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP258041,PRJNA627605,,627605,SRS6523123,SAMN14677190,simple,9606,Homo sapiens,1165,,,,,male,,no,,,,,FOURTH MILITARY MEDICAL UNIVERSITY,SRA1068143,,public,2594E781B40936C399F2C368294B1A64,0C6CC9430A2823150B44A844E4C39334
SRR11594484,2020-07-01 00:07:43,2020-04-23 09:04:27,19248223,2892669512,0,150,1012,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR011/11594/SRR11594484/SRR11594484.lite.1,SRX8161385,1166,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP258041,PRJNA627605,,627605,SRS6523124,SAMN14677191,simple,9606,Homo sapiens,1166,,,,,male,,no,,,,,FOURTH MILITARY MEDICAL UNIVERSITY,SRA1068143,,public,B16CAF6E7BEDB53778C4F9E2A7AF8EAB,E9FFA9BE118ED806EEE8CFBE2F7AD3C0
SRR11594483,2020-07-01 00:07:43,2020-04-23 09:04:01,20219745,3038717041,0,150,1064,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR011/11594/SRR11594483/SRR11594483.lite.1,SRX8161386,1167,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP258041,PRJNA627605,,627605,SRS6523125,SAMN14677192,simple,9606,Homo sapiens,1167,,,,,male,,no,,,,,FOURTH MILITARY MEDICAL UNIVERSITY,SRA1068143,,public,90E03161B1B5455E0D3D3BC22D562247,B2B4046E71323EC14D7571D30FD88C58
SRR11594482,2020-07-01 00:07:43,2020-04-23 09:06:57,26006765,3905387430,0,150,1358,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR011/11594/SRR11594482/SRR11594482.lite.1,SRX8161387,1168,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP258041,PRJNA627605,,627605,SRS6523126,SAMN14677193,simple,9606,Homo sapiens,1168,,,,,male,,no,,,,,FOURTH MILITARY MEDICAL UNIVERSITY,SRA1068143,,public,C8B7D64723ABD78C24050ECA5F9CFAC0,76CC903F22B845754248E74F12546DFE
SRR11594481,2020-07-01 00:07:43,2020-04-23 09:09:29,19240795,2891572320,0,150,1008,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR011/11594/SRR11594481/SRR11594481.lite.1,SRX8161388,1169,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP258041,PRJNA627605,,627605,SRS6523127,SAMN14677194,simple,9606,Homo sapiens,1169,,,,,male,,no,,,,,FOURTH MILITARY MEDICAL UNIVERSITY,SRA1068143,,public,F60C64A1AA763C64A0E356BAAC69063E,026D2F162B173DCAB184E8BB5477EA5C
