Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR5204176,2017-01-30 20:09:33,2017-01-25 20:05:14,50802240,2590914240,0,51,1644,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR005/204/SRR5204176/SRR5204176.sralite.1,SRX2518103,2-3low,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP097792,PRJNA362820,,362820,SRS1940825,SAMN06252932,simple,9606,Homo sapiens,2-3low,,,,,male,,no,,,,,MEMORIAL SLOAN KETTERING CANCER CENTER,SRA531481,,public,00183805D6F3ADE917669DD3A516790F,DFAF4D882438E751904C1EB35ECE4DBD
SRR5204175,2017-01-30 20:09:32,2017-01-25 20:05:26,54682642,2788814742,0,51,1762,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR005/204/SRR5204175/SRR5204175.sralite.1,SRX2518102,3-5low,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP097792,PRJNA362820,,362820,SRS1940824,SAMN06252933,simple,9606,Homo sapiens,3-5low,,,,,male,,no,,,,,MEMORIAL SLOAN KETTERING CANCER CENTER,SRA531481,,public,4A322C0149D09E6EC6BC5588F9DC4BEE,91EF49AD40C321FF2759163698CD5AB7
SRR5204174,2017-01-30 20:15:55,2017-01-25 20:11:37,64256224,3277067424,0,51,2070,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR005/204/SRR5204174/SRR5204174.sralite.1,SRX2518101,BC3_2A,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP097792,PRJNA362820,,362820,SRS1940823,SAMN06252934,simple,9606,Homo sapiens,BC3_2A,,,,,male,,no,,,,,MEMORIAL SLOAN KETTERING CANCER CENTER,SRA531481,,public,CD622680698FF7253070DD44F6BBE0A6,0628E7EBC1A5E9D657E1425ADB46DEE1
SRR5204173,2017-01-30 20:10:39,2017-01-25 20:08:03,60753358,3098421258,0,51,2040,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR005/204/SRR5204173/SRR5204173.sralite.1,SRX2518100,BC3_3A,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP097792,PRJNA362820,,362820,SRS1940822,SAMN06252935,simple,9606,Homo sapiens,BC3_3A,,,,,male,,no,,,,,MEMORIAL SLOAN KETTERING CANCER CENTER,SRA531481,,public,E270C1F19B6A6D3474DC1F113550C7D3,9508D6638576090364BEFA217C523EF7
SRR11508545,2020-12-31 00:02:51,2020-04-09 04:24:13,59944963,3057193113,0,51,1044,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR011/11508/SRR11508545/SRR11508545.lite.1,SRX8080658,AS-354377,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP255677,PRJNA623692,,623692,SRS6448851,SAMN14557412,simple,9606,Homo sapiens,BL60_2d_GL2+MTX-Rep1,,,,,not collected,,no,,,,,DKTK/UNIVERSITY HOSPITAL FRANKFURT,SRA1063743,,public,157280DA16B93AEB5909870C43E72D49,9937C70D299EBD1A9925A8059B38ECBD
SRR11508543,2020-12-31 00:02:51,2020-04-09 06:40:13,62318302,3178233402,0,51,1086,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR011/11508/SRR11508543/SRR11508543.lite.1,SRX8080660,AS-354379,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP255677,PRJNA623692,,623692,SRS6448853,SAMN14557414,simple,9606,Homo sapiens,BL60_2d_GL2+MTX-Rep2,,,,,not collected,,no,,,,,DKTK/UNIVERSITY HOSPITAL FRANKFURT,SRA1063743,,public,9A441C31A139663905737E22A6269567,A469FFC5286622B25F95F9E5FB69DBFB
SRR11508541,2020-12-31 00:02:51,2020-04-09 04:43:56,79472239,4053084189,0,51,1408,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR011/11508/SRR11508541/SRR11508541.lite.1,SRX8080662,AS-354381,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP255677,PRJNA623692,,623692,SRS6448855,SAMN14557416,simple,9606,Homo sapiens,BL60_2d_GL2+MTX-Rep3,,,,,not collected,,no,,,,,DKTK/UNIVERSITY HOSPITAL FRANKFURT,SRA1063743,,public,02E176887482689AF25E78631ED96F91,C610605E284F4739A129A14AEF7A0FA3
SRR11508539,2020-12-31 00:02:51,2020-04-09 04:30:57,69068437,3522490287,0,51,1217,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR011/11508/SRR11508539/SRR11508539.lite.1,SRX8080664,AS-354383,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP255677,PRJNA623692,,623692,SRS6448857,SAMN14557418,simple,9606,Homo sapiens,BL60_2d_GL2+MTX-Rep4,,,,,not collected,,no,,,,,DKTK/UNIVERSITY HOSPITAL FRANKFURT,SRA1063743,,public,6034579FD12A3664A4623FAB8515BC57,3C13148D76A5B3F15B47D94144D39241
SRR11508546,2020-12-31 00:02:51,2020-04-09 06:34:35,72184884,3681429084,0,51,1267,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR011/11508/SRR11508546/SRR11508546.lite.1,SRX8080657,AS-354376,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP255677,PRJNA623692,,623692,SRS6448850,SAMN14557411,simple,9606,Homo sapiens,BL60_2d_GL2-Rep1,,,,,not collected,,no,,,,,DKTK/UNIVERSITY HOSPITAL FRANKFURT,SRA1063743,,public,545211D5B935E30D0823840605DAE607,616EA38A6B3990FF2901AA050A33F437
SRR11508544,2020-12-31 00:02:51,2020-04-09 07:45:55,69942625,3567073875,0,51,1231,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR011/11508/SRR11508544/SRR11508544.lite.1,SRX8080659,AS-354378,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP255677,PRJNA623692,,623692,SRS6448852,SAMN14557413,simple,9606,Homo sapiens,BL60_2d_GL2-Rep2,,,,,not collected,,no,,,,,DKTK/UNIVERSITY HOSPITAL FRANKFURT,SRA1063743,,public,E14EB4E8243E894D48B45C175787E80A,5C265575C13C87D9D0365BE462E09185
