Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR6460634,2019-03-03 00:29:15,2018-01-11 04:47:08,22306793,4482486028,22306793,200,1726,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR006/460/SRR6460634/SRR6460634.sralite.1,SRX3550872,E359_NCN20,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1500,SRP128828,PRJNA427881,,427881,SRS2824260,SAMN08275828,simple,9606,Homo sapiens,E_359_NCN20n5,,,,,male,,no,,,,,INSTITUTE OF GENETICS AND ANIMAL BREEDING,SRA645944,,public,73A91C50DF81731A5E7A2F30F3F4942D,F65F5EFC32AB980F5C3EC859C736BE9C
SRR6460635,2019-03-03 00:29:15,2018-01-11 04:49:49,27588407,5544226926,27588407,200,2150,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR006/460/SRR6460635/SRR6460635.sralite.1,SRX3550871,E360_NCN15,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1500,SRP128828,PRJNA427881,,427881,SRS2824259,SAMN08275829,simple,9606,Homo sapiens,E_360_NCN15n6,,,,,male,,no,,,,,INSTITUTE OF GENETICS AND ANIMAL BREEDING,SRA645944,,public,0088F4C6CE076F849882615062EFA344,00D7B5AD21B8A2E2414F3C0E9727E052
SRR6460625,2019-03-03 00:29:15,2018-01-11 04:51:28,32386745,6508811362,32386745,200,2507,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR006/460/SRR6460625/SRR6460625.sralite.1,SRX3550881,E362_DS_P,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1500,SRP128828,PRJNA427881,,427881,SRS2824269,SAMN08275830,simple,9606,Homo sapiens,E_362_Pellet_T1,,,,,male,,no,,,,,INSTITUTE OF GENETICS AND ANIMAL BREEDING,SRA645944,,public,21C16CCFBC41A73D1D1CC323EC1A5F16,7D381EBC1A98C0A95ACBB867E4370A0E
SRR3392365,2016-09-28 16:33:26,2016-04-15 12:36:21,47185301,3586082876,0,76,1869,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR003/392/SRR3392365.sralite.1,SRX1707751,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP073375,PRJNA318622,2,318622,SRS1399043,SAMN04858677,simple,9606,Homo sapiens,GSM2124706,,,,,,,no,,,,,GEO,SRA412502,,public,3A5B11C07A9E66F8C2EBC770A9383C2D,7000F32C2C8ABA007D0508C53AC7B96C
SRR3392366,2016-09-28 16:33:26,2016-04-15 12:35:52,33077483,2513888708,0,76,1308,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR003/392/SRR3392366.sralite.1,SRX1707752,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP073375,PRJNA318622,2,318622,SRS1399042,SAMN04858678,simple,9606,Homo sapiens,GSM2124707,,,,,,,no,,,,,GEO,SRA412502,,public,AE1DDE6C5C168B87BDFE4175FCCD0868,D345606059594697A1A625E7F36B47D8
SRR4175306,2016-10-20 15:45:09,2016-09-06 11:50:10,6170630,604721740,6170630,98,225,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR004/175/SRR4175306.sralite.1,SRX2140552,,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP086700,PRJNA341995,2,341995,SRS1672475,SAMN05730923,simple,9606,Homo sapiens,GSM2292508,,,,,,,no,,,,,GEO,SRA462988,,public,5273880F6B052E9D8836100A2C0558D4,FBEB78B8905E22EBB258839B24D324DB
SRR4175307,2016-10-20 15:45:09,2016-09-06 11:49:42,4228769,414419362,4228769,98,156,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR004/175/SRR4175307.sralite.1,SRX2140552,,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP086700,PRJNA341995,2,341995,SRS1672475,SAMN05730923,simple,9606,Homo sapiens,GSM2292508,,,,,,,no,,,,,GEO,SRA462988,,public,0727B16567762139CF158837EE3012DB,F9C444137C4CD8AAEFF09CC60A26DE78
SRR4175308,2016-10-20 15:45:09,2016-09-06 11:54:07,14925547,1567182435,14925547,105,606,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR004/175/SRR4175308.sralite.1,SRX2140553,,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP086700,PRJNA341995,2,341995,SRS1672478,SAMN05730922,simple,9606,Homo sapiens,GSM2292509,,,,,,,no,,,,,GEO,SRA462988,,public,960D09BE897CD5496C207C1A46E56A39,1263DFCD79FC93BE92CA4A7AEFE8AF3B
SRR4175309,2016-10-20 15:45:09,2016-09-06 11:50:53,6809024,667284352,6809024,98,245,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR004/175/SRR4175309.sralite.1,SRX2140554,,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP086700,PRJNA341995,2,341995,SRS1672477,SAMN05730921,simple,9606,Homo sapiens,GSM2292510,,,,,,,no,,,,,GEO,SRA462988,,public,3C54C8EC663D8D8783E81120A34CEF09,C50DE9FD166187C0EDF0BB424F9713EE
SRR4175310,2016-10-20 15:45:09,2016-09-06 11:49:39,3774086,369860428,3774086,98,138,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR004/175/SRR4175310.sralite.1,SRX2140554,,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP086700,PRJNA341995,2,341995,SRS1672477,SAMN05730921,simple,9606,Homo sapiens,GSM2292510,,,,,,,no,,,,,GEO,SRA462988,,public,DB2E460367FBB5FE19F46DE695895975,E005770B3FB82C4231E35DA6C3E96C49
SRR4175311,2016-10-20 15:45:09,2016-09-06 11:52:05,12414937,1303568385,12414937,105,506,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR004/175/SRR4175311.sralite.1,SRX2140555,,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP086700,PRJNA341995,2,341995,SRS1672476,SAMN05730920,simple,9606,Homo sapiens,GSM2292511,,,,,,,no,,,,,GEO,SRA462988,,public,DD1052D1A2B0DA42A14DBC62F66111ED,3C85A198178E66ED4C7F5C669B3D225E
SRR4175312,2016-10-20 15:45:09,2016-09-06 11:49:46,3862740,378548520,3862740,98,140,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR004/175/SRR4175312.sralite.1,SRX2140556,,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP086700,PRJNA341995,2,341995,SRS1672479,SAMN05730919,simple,9606,Homo sapiens,GSM2292512,,,,,,,no,,,,,GEO,SRA462988,,public,0C4316716AA871770944B0BC6FFF1CDC,2D3154B747F9C146DAA6890AB85DBE36
