Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR22560015,2022-12-13 00:08:03,2022-12-07 13:08:58,16857077,5057123100,16857077,300,1994,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR022/22560/SRR22560015/SRR22560015.lite.1,SRX18523406,AA001,RNA-Seq,PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP401758,PRJNA887246,,887246,SRS15991270,SAMN31833271,simple,9606,Homo sapiens,AA001,,,,,not provided,,no,,,,,UNIVERSITY OF PALERMO,SRA1554952,,public,E98877842FD3630AAE710B36ABE51864,AA3D71DAAAF61420E944B031E7F884F9
SRR22560014,2022-12-13 00:08:03,2022-12-07 13:09:15,16185417,4855625100,16185417,300,1892,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR022/22560/SRR22560014/SRR22560014.lite.1,SRX18523407,AA002,RNA-Seq,PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP401758,PRJNA887246,,887246,SRS15991271,SAMN31833272,simple,9606,Homo sapiens,AA002,,,,,not provided,,no,,,,,UNIVERSITY OF PALERMO,SRA1554952,,public,3161E10E065E2CCD7236B2464BA5F794,3C50C44ECDCA9F063FE6A96C7212F4CA
SRR22560003,2022-12-13 00:08:04,2022-12-07 07:16:23,47824698,7173704700,0,150,2237,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR022/22560/SRR22560003/SRR22560003.lite.1,SRX18523418,AA003,RNA-Seq,PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP401758,PRJNA887246,,887246,SRS15991282,SAMN31833273,simple,9606,Homo sapiens,AA003,,,,,not provided,,no,,,,,UNIVERSITY OF PALERMO,SRA1554952,,public,2D2B0387BCB1F3134C8E36C0B58B1466,FCB9C0B7880854E2C56270025B2555B8
SRR22559994,2022-12-13 00:08:04,2022-12-07 13:21:59,20958916,6287674800,20958916,300,2414,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR022/22559/SRR22559994/SRR22559994.lite.1,SRX18523427,AA004,RNA-Seq,PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP401758,PRJNA887246,,887246,SRS15991291,SAMN31833274,simple,9606,Homo sapiens,AA004,,,,,not provided,,no,,,,,UNIVERSITY OF PALERMO,SRA1554952,,public,A8589E39DE540995BE52F8DDE24F9AA2,E1803BA5C8D9BA5E151B48E68FD4CCE6
SRR22559993,2022-12-13 00:08:04,2022-12-07 13:14:28,18118294,5435488200,18118294,300,2123,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR022/22559/SRR22559993/SRR22559993.lite.1,SRX18523428,AA005,RNA-Seq,PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP401758,PRJNA887246,,887246,SRS15991292,SAMN31833275,simple,9606,Homo sapiens,AA005,,,,,not provided,,no,,,,,UNIVERSITY OF PALERMO,SRA1554952,,public,329B0411FC22055E0E79A33BA8038EC3,D0945AAF4886258D68B15AE6424FF78E
SRR22559992,2022-12-13 00:08:04,2022-12-07 13:17:04,18512771,5553831300,18512771,300,2179,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR022/22559/SRR22559992/SRR22559992.lite.1,SRX18523429,AA006,RNA-Seq,PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP401758,PRJNA887246,,887246,SRS15991293,SAMN31833276,simple,9606,Homo sapiens,AA006,,,,,not provided,,no,,,,,UNIVERSITY OF PALERMO,SRA1554952,,public,B1EC373570AA8147506521BB2B32203D,F485F8CF374B07BD2D901D78BDDA66E7
SRR22559991,2022-12-13 00:08:04,2022-12-07 07:09:53,30607508,4591126200,0,150,1430,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR022/22559/SRR22559991/SRR22559991.lite.1,SRX18523430,AA007,RNA-Seq,PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP401758,PRJNA887246,,887246,SRS15991294,SAMN31833277,simple,9606,Homo sapiens,AA007,,,,,not provided,,no,,,,,UNIVERSITY OF PALERMO,SRA1554952,,public,D7B4D63F498416CC51C02903A5F981EE,260BB6D4B5A6C4920B0B6C3CF6863014
SRR22559990,2022-12-13 00:08:04,2022-12-07 13:17:59,18985496,5695648800,18985496,300,2214,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR022/22559/SRR22559990/SRR22559990.lite.1,SRX18523431,AA008,RNA-Seq,PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP401758,PRJNA887246,,887246,SRS15991295,SAMN31833278,simple,9606,Homo sapiens,AA008,,,,,not provided,,no,,,,,UNIVERSITY OF PALERMO,SRA1554952,,public,B9E2405BEB7F0DEE37EB247F519EB912,36445F10B4552870E947E735C74D25B0
SRR22559989,2022-12-13 00:08:04,2022-12-07 13:21:49,21637633,6491289900,21637633,300,2520,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR022/22559/SRR22559989/SRR22559989.lite.1,SRX18523432,AA009,RNA-Seq,PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP401758,PRJNA887246,,887246,SRS15991296,SAMN31833279,simple,9606,Homo sapiens,AA009,,,,,not provided,,no,,,,,UNIVERSITY OF PALERMO,SRA1554952,,public,A02C33604AEBBBC558775471296D6EEC,F0150683A264D6CADBC7EFABB7DDD947
SRR22559988,2022-12-13 00:08:04,2022-12-07 13:12:29,18999040,5699712000,18999040,300,2219,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR022/22559/SRR22559988/SRR22559988.lite.1,SRX18523433,AA010,RNA-Seq,PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP401758,PRJNA887246,,887246,SRS15991297,SAMN31833280,simple,9606,Homo sapiens,AA010,,,,,not provided,,no,,,,,UNIVERSITY OF PALERMO,SRA1554952,,public,ADCA2150ECE43E0B5220A85C677D21FA,D5C059E574707619F251EE5EFC4475AA
